DateTime,AddedIPs,RemovedIPs
1608485523,0,1
1608486124,0,2
1608487324,1,2
1608489124,0,1
1608490923,2,1
1608491523,0,2
1608492724,0,4
1608493923,0,2
1608495724,25,0
1608496923,0,4
1608499323,1,1
1608500523,0,5
1608501723,1,0
1608502324,0,2
1608503523,2,2
1608508323,0,1
1608509523,2,2
1608511323,0,2
1608512523,1,0
1608513723,0,3
1608514923,0,2
1608516123,1,0
1608516723,0,2
1608519723,1,0
1608521523,0,1
1608522123,1,1
1608523323,1,0
1608525123,0,1
1608525723,1,3
1608526924,41,1
1608527523,0,2
1608528123,0,1
1608529323,1,0
1608529923,2,0
1608530523,0,2
1608532923,2,3
1608534123,1,0
1608536523,2,0
1608537723,0,1
1608540123,1,0
1608541323,2,0
1608542524,5,4
1608543723,1,0
1608547922,2,0
1608548523,1,0
1608549723,0,1
1608553323,1,0
1608554523,0,1
1608555723,1,0
1608558123,2,1
1608559323,1,0
1608559923,1,0
1608561724,1,0
1608562923,1,0
1608563523,1,2
1608564723,2,1
1608565923,0,3
1608566523,11,12
1608567723,2,8
1608568923,0,3
1608571323,2,5
1608572524,1,2
1608573124,0,3
1608573723,0,6
1608575524,0,2
1608576123,0,1
1608577923,0,2
1608579124,1,0
1608580323,0,6
1608581523,0,4
1608582124,0,2
1608583323,0,2
1608583923,1,0
1608585123,1,1
1608586923,2,0
1608588723,2,2
1608589323,2,0
1608589923,0,2
1608590523,8,1
1608592923,0,1
1608594124,1,0
1608595323,3,2
1608596523,2,0
1608597723,0,1
1608598924,1,0
1608599523,1,2
1608600123,0,1
1608600724,2,0
1608601324,0,2
1608602523,3,0
1608603723,1,3
1608604923,0,3
1608606124,3,1
1608607324,1,0
1608607924,1,1
1608608524,1,0
1608609723,3,0
1608610923,1,1
1608612124,0,2
1608613323,1,0
1608614523,1,0
1608615723,0,1
1608616324,0,4
1608617524,1,0
1608618123,1,1
1608619323,1,0
1608622924,3,2
1608624723,0,1
1608628924,2,0
1608630724,0,2
1608631324,1,6
1608634323,4,2
1608637323,2,0
1608638524,1,0
1608639123,0,2
1608639723,0,1
1608640324,2,9
1608643324,0,1
1608644524,0,1
1608647524,0,1
1608648723,0,1
1608651123,2,0
1608652924,0,8
1608654725,0,3
1608655924,0,1
1608657123,0,2
1608658324,2,0
1608658924,2,0
1608661323,1,0
1608662524,1,8
1608664924,3,8
1608666123,1,0
1608667924,0,3
1608669124,1,11
1608670323,4,2
1608671523,1,2
1608672724,1,0
1608674524,2,3
1608675123,0,1
1608675723,1,0
1608676325,1,0
1608677523,0,2
1608678723,2,1
1608679324,1,0
1608681124,2,0
1608682323,0,1
1608682924,1,5
1608684124,4,0
1608685324,0,1
1608686524,1,0
1608687724,1,0
1608688323,1,0
1608690124,33,0
1608690724,3,0
1608691324,0,1
1608692524,3,0
1608693724,2,0
1608695523,2,2
1608697324,1,5
1608697925,0,9
1608699723,1,0
1608700924,1,17
1608702123,1,0
1608703324,0,1
1608703924,0,1
1608705124,11,0
1608706924,2,0
1608707524,1,0
1608708724,3,1
1608709925,3,3
1608711124,1,2
1608712324,2,10
1608712924,0,8
1608713524,1,0
1608714123,1,0
1608715324,1,21
1608715924,2,5
1608716523,0,6
1608717723,8,1
1608719525,29,0
1608720124,2,0
1608721324,4,3
1608722524,7,2
1608723124,3,1
1608724323,5,0
1608724924,3,1
1608726123,1,0
1608726724,1,1
1608727323,4,1
1608727924,1,0
1608728523,1,0
1608729123,0,1
1608730924,3,0
1608732124,2,1
1608732723,1,0
1608733925,3,0
1608734523,1,1
1608735724,3,0
1608736924,1,1
1608738123,51,0
1608739323,6,9
1608740523,4,0
1608741123,0,2
1608742324,4,3
1608742923,3,0
1608743524,3,0
1608744724,3,0
1608745323,7,0
1608745923,2,1
1608747123,5,0
1608748324,1,0
1608749524,0,4
1608750724,0,1
1608751323,0,10
1608752524,2,0
1608754323,2,5
1608755524,1,3
1608756123,2,1
1608756723,0,4
1608758524,4,7
1608759723,1,0
1608760923,4,0
1608763324,2,0
1608763923,0,2
1608764523,2,0
1608765723,1,1
1608766324,7,0
1608767523,0,2
1608768124,2,0
1608769323,0,4
1608769924,1,0
1608772323,1,0
1608773524,5,2
1608774124,2,0
1608775323,1,0
1608777724,2,2
1608779523,2,0
1608780724,0,2
1608781323,1,0
1608783723,0,1
1608784324,0,3
1608787323,11,4
1608789723,16,0
1608790924,3,3
1608792723,5,2
1608793323,1,0
1608794523,4,3
1608795724,1,1
1608796924,2,1
1608798123,0,4
1608798724,0,3
1608799323,1,0
1608800524,2,0
1608801123,0,1
1608802324,1,0
1608802923,2,1
1608804124,40,0
1608804723,1,0
1608807724,3,1
1608808323,0,5
1608808923,0,3
1608810124,1,5
1608810723,1,1
1608811923,0,2
1608812523,2,1
1608813724,0,1
1608814923,1,0
1608815524,0,4
1608816724,2,14
1608817323,0,7
1608819723,0,4
1608820924,0,14
1608822124,1,7
1608822723,1,0
1608823324,0,1
1608823924,0,7
1608826324,0,1
1608826923,1,0
1608828124,0,8
1608828723,0,6
1608829323,0,5
1608830523,3,1
1608831724,4,6
1608832923,0,7
1608834724,1,3
1608835924,1,0
1608837724,0,1
1608838924,0,3
1608840123,1,0
1608841324,0,4
1608841924,0,3
1608843724,0,1
1608844323,1,0
1608844923,0,1
1608846124,0,3
1608847323,0,1
1608848523,2,2
1608849723,0,1
1608850323,0,5
1608851523,1,4
1608852724,1,0
1608854524,1,5
1608855724,5,4
1608856324,1,0
1608857524,3,0
1608859324,1,3
1608860524,3,0
1608861723,2,0
1608862924,1,0
1608867124,0,1
1608869523,2,1
1608871323,0,1
1608872523,0,6
1608873724,7,0
1608874324,1,7
1608876124,0,8
1608877324,1,7
1608878524,0,7
1608879726,1,1
1608880324,0,5
1608882123,3,5
1608883925,1,5
1608884523,1,0
1608885724,0,1
1608887524,3,2
1608888124,0,3
1608889324,1,0
1608891124,0,2
1608891723,2,1
1608893524,1,3
1608894124,0,2
1608895324,2,0
1608896524,1,0
1608897724,3,0
1608900123,0,4
1608901323,1,0
1608902524,1,0
1608903724,0,2
1608904923,1,0
1608906123,1,0
1608907324,0,1
1608907924,1,0
1608909724,0,4
1608913324,1,13
1608916324,1,2
1608917524,1,4
1608918123,1,0
1608919923,0,1
